,Titulares,T,TaP,C,CP,CF,FR,FC,PI,BR,Reg,PA,P%,equipo,jornada,Minutos,cambioN,localizacion
0,Yassine Bono,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.867,girona,1,90.0,0.0,0
1,Bernardo Espinosa,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.922,girona,1,90.0,0.0,0
2,Juanpe Ramírez,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,0.0,1.0,0.9,girona,1,90.0,0.0,0
3,Marc Muniesa,1.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,0.873,girona,1,90.0,0.0,0
4,Pedro Porro,0.0,0.0,6.0,1.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,0.8640000000000001,girona,1,90.0,0.0,0
5,Álex Granell,1.0,0.0,11.0,4.0,1.0,4.0,2.0,1.0,0.0,4.0,2.0,0.81,girona,1,90.0,0.0,0
6,Cristian Portu,2.0,0.0,3.0,2.0,1.0,2.0,3.0,0.0,0.0,2.0,1.0,0.611,girona,1,90.0,0.0,0
7,Borja García,3.0,0.0,3.0,0.0,0.0,7.0,0.0,2.0,0.0,3.0,2.0,0.764,girona,1,90.0,0.0,0
8,David Timor,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.882,girona,1,73.0,73.0,0
9,Aleix García,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.878,girona,1,61.0,61.0,0
10,Christian Stuani,3.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,1.0,0.706,girona,1,80.0,80.0,0
11,Gorka Iraizoz,,,,,,,,,,,,,girona,1,0.0,0.0,0
12,Pedro Alcalá,,,,,,,,,,,,,girona,1,0.0,0.0,0
13,Èric Montes,,,,,,,,,,,,,girona,1,0.0,0.0,0
14,Pere Pons,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.8,girona,1,17.0,73.0,0
15,Patrick Roberts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,girona,1,10.0,80.0,0
16,Kevin Soni,,,,,,,,,,,,,girona,1,0.0,0.0,0
17,Choco Lozano,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.5710000000000001,girona,1,29.0,61.0,0
18,Jordi Masip,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.263,valladolid,1,90.0,0.0,1
19,Kiko Olivas,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,0.0,0.0,0.885,valladolid,1,90.0,0.0,1
