Titulares,T,TaP,C,CP,CF,Reg,PA,partido,equipo,Jornada
0,0.0,0.0,0.0,0.0,0.0,0,0,1,girona,1
1,0.0,0.0,0.0,0.0,0.0,0,0,1,girona,1
2,0.0,0.0,0.0,0.0,0.0,0,1,1,girona,1
3,1.0,0.0,2.0,0.0,0.0,1,2,1,girona,1
4,0.0,0.0,6.0,1.0,1.0,2,0,1,girona,1
5,1.0,0.0,11.0,4.0,1.0,4,2,1,girona,1
6,2.0,0.0,3.0,2.0,1.0,2,1,1,girona,1
7,3.0,0.0,3.0,0.0,0.0,3,2,1,girona,1
8,1.0,0.0,0.0,0.0,0.0,0,0,1,girona,1
9,1.0,1.0,2.0,0.0,0.0,0,0,1,girona,1
10,3.0,0.0,0.0,0.0,0.0,0,1,1,girona,1
11,0.0,0.0,0.0,0.0,0.0,0,0,1,valladolid,1
12,0.0,0.0,0.0,0.0,0.0,0,0,1,valladolid,1
13,0.0,0.0,2.0,0.0,0.0,0,0,1,valladolid,1
14,0.0,0.0,0.0,0.0,0.0,0,0,1,valladolid,1
15,0.0,0.0,4.0,1.0,0.0,2,1,1,valladolid,1
16,1.0,0.0,2.0,0.0,0.0,0,0,1,valladolid,1
17,0.0,0.0,2.0,0.0,2.0,5,0,1,valladolid,1
18,0.0,0.0,0.0,0.0,0.0,0,0,1,valladolid,1
19,1.0,1.0,5.0,1.0,0.0,0,1,1,valladolid,1
20,0.0,0.0,0.0,0.0,0.0,0,0,1,valladolid,1
21,0.0,0.0,0.0,0.0,0.0,0,0,1,valladolid,1
22,0.0,0.0,0.0,0.0,0.0,0,0,2,betis,1
23,2.0,0.0,1.0,0.0,0.0,0,2,2,betis,1
24,0.0,0.0,0.0,0.0,0.0,1,0,2,betis,1
25,0.0,0.0,0.0,0.0,0.0,0,2,2,betis,1
26,1.0,1.0,2.0,1.0,0.0,5,2,2,betis,1
27,5.0,1.0,2.0,0.0,0.0,1,1,2,betis,1
28,4.0,0.0,4.0,1.0,2.0,2,0,2,betis,1
29,0.0,0.0,6.0,0.0,0.0,1,2,2,betis,1
30,0.0,0.0,0.0,0.0,0.0,1,0,2,betis,1
31,3.0,2.0,2.0,0.0,0.0,1,3,2,betis,1
32,4.0,3.0,1.0,0.0,1.0,2,1,2,betis,1
33,0.0,0.0,0.0,0.0,0.0,0,0,2,levante,1
34,0.0,0.0,2.0,0.0,1.0,5,0,2,levante,1
35,0.0,0.0,0.0,0.0,0.0,0,1,2,levante,1
36,0.0,0.0,0.0,0.0,0.0,0,0,2,levante,1
37,0.0,0.0,1.0,0.0,1.0,0,0,2,levante,1
38,0.0,0.0,0.0,0.0,0.0,1,0,2,levante,1
39,0.0,0.0,3.0,1.0,0.0,0,1,2,levante,1
40,3.0,3.0,0.0,0.0,1.0,3,1,2,levante,1
41,1.0,0.0,1.0,0.0,0.0,1,1,2,levante,1
42,0.0,0.0,3.0,0.0,0.0,3,0,2,levante,1
43,2.0,1.0,0.0,0.0,0.0,0,0,2,levante,1
44,0.0,0.0,0.0,0.0,0.0,0,0,3,celta,1
45,1.0,1.0,9.0,3.0,1.0,0,2,3,celta,1
46,1.0,0.0,0.0,0.0,0.0,0,0,3,celta,1
47,1.0,0.0,2.0,0.0,1.0,1,0,3,celta,1
48,0.0,0.0,0.0,0.0,0.0,0,0,3,celta,1
49,0.0,0.0,1.0,0.0,0.0,2,0,3,celta,1
50,1.0,0.0,3.0,1.0,0.0,2,2,3,celta,1
51,2.0,0.0,5.0,0.0,3.0,0,1,3,celta,1
52,1.0,0.0,1.0,0.0,1.0,1,0,3,celta,1
53,1.0,0.0,0.0,0.0,0.0,0,1,3,celta,1
54,2.0,0.0,2.0,0.0,1.0,0,4,3,celta,1
55,0.0,0.0,0.0,0.0,0.0,0,0,3,espanyol,1
56,0.0,0.0,6.0,0.0,1.0,0,2,3,espanyol,1
57,0.0,0.0,0.0,0.0,0.0,0,0,3,espanyol,1
58,0.0,0.0,1.0,1.0,1.0,0,3,3,espanyol,1
59,2.0,1.0,0.0,0.0,0.0,0,0,3,espanyol,1
60,2.0,0.0,1.0,0.0,1.0,0,0,3,espanyol,1
61,1.0,1.0,8.0,0.0,2.0,1,2,3,espanyol,1
62,0.0,0.0,0.0,0.0,0.0,1,1,3,espanyol,1
63,2.0,0.0,0.0,0.0,0.0,0,1,3,espanyol,1
64,1.0,1.0,0.0,0.0,1.0,0,0,3,espanyol,1
65,2.0,0.0,0.0,0.0,0.0,0,1,3,espanyol,1
66,0.0,0.0,0.0,0.0,0.0,0,0,4,villarreal,1
67,2.0,1.0,3.0,1.0,0.0,0,1,4,villarreal,1
68,0.0,0.0,1.0,0.0,0.0,0,0,4,villarreal,1
